filename,score,coordinate
constituency_10_1.png,,
constituency_10_10.png,,
constituency_10_10_page2.png,0.9542086124420166,"[179, 503, 2388, 2470]"
constituency_10_11.png,0.9406419396400452,"[389, 2772, 2313, 3095]"
constituency_10_11_page2.png,0.9683313369750977,"[399, 268, 2339, 3043]"
constituency_10_11_page3.png,,
constituency_10_12.png,,
constituency_10_12_page2.png,0.9546656608581543,"[269, 517, 2245, 2516]"
constituency_10_12_page3.png,,
constituency_10_13.png,,
constituency_10_13_page2.png,0.9660042524337769,"[228, 364, 2341, 1885]"
constituency_10_14.png,,
constituency_10_14_page2.png,0.9640368223190308,"[336, 547, 2286, 2266]"
constituency_10_14_page3.png,,
constituency_10_16.png,,
constituency_10_16_page2.png,0.9653029441833496,"[294, 533, 2302, 2008]"
constituency_10_17.png,,
constituency_10_17_page2.png,0.9699104428291321,"[340, 445, 2438, 2202]"
constituency_10_18.png,,
constituency_10_18_page2.png,0.9674100279808044,"[271, 717, 2339, 2971]"
constituency_10_18_page3.png,,
constituency_10_19.png,,
constituency_10_19_page2.png,0.9697456359863281,"[310, 451, 2165, 3050]"
constituency_10_19_page3.png,,
constituency_10_1_page2.png,0.9531286358833313,"[295, 334, 2401, 2355]"
constituency_10_1_page3.png,0.5724104046821594,"[10, 608, 2440, 1442]"
constituency_10_2.png,,
constituency_10_20.png,,
constituency_10_20_page2.png,0.9669070243835449,"[153, 555, 2328, 1841]"
constituency_10_21.png,0.9484159350395203,"[224, 2604, 2453, 3269]"
constituency_10_21_page2.png,0.9593225717544556,"[198, 291, 2449, 1247]"
constituency_10_22.png,,
constituency_10_22_page2.png,0.9652813673019409,"[279, 857, 2295, 2457]"
constituency_10_23.png,,
constituency_10_23_page2.png,0.9677801728248596,"[322, 551, 2115, 2695]"
constituency_10_23_page3.png,0.5293710231781006,"[12, 414, 2456, 1261]"
constituency_10_24.png,,
constituency_10_24_page2.png,0.9681426882743835,"[287, 441, 2288, 2886]"
constituency_10_24_page3.png,0.5014561414718628,"[59, 396, 2373, 1154]"
constituency_10_25.png,,
constituency_10_25_page2.png,0.9706043004989624,"[385, 369, 2232, 1567]"
constituency_10_26.png,,
constituency_10_26_page2.png,0.9621233344078064,"[283, 563, 2321, 2161]"
constituency_10_27.png,,
constituency_10_27_page2.png,0.9588754773139954,"[304, 707, 2336, 2282]"
constituency_10_28.png,,
constituency_10_28_page2.png,0.968772828578949,"[350, 576, 2282, 2899]"
constituency_10_28_page3.png,,
constituency_10_29.png,,
constituency_10_29_page2.png,0.9703899621963501,"[259, 1029, 2303, 3185]"
constituency_10_29_page3.png,0.9621899724006653,"[275, 415, 2319, 1715]"
constituency_10_2_page2.png,0.9465182423591614,"[327, 591, 2377, 2485]"
constituency_10_2_page3.png,,
constituency_10_3.png,,
constituency_10_30.png,,
constituency_10_30_page2.png,0.960184633731842,"[195, 501, 2365, 3039]"
constituency_10_30_page3.png,,
constituency_10_31.png,,
constituency_10_31_page2.png,0.9743738770484924,"[279, 764, 2293, 2892]"
constituency_10_31_page3.png,,
constituency_10_32.png,,
constituency_10_32_page2.png,0.9596328139305115,"[269, 271, 2321, 2638]"
constituency_10_33.png,0.9485357403755188,"[276, 2916, 2306, 3407]"
constituency_10_33_page2.png,0.9146836996078491,"[256, 306, 2317, 2224]"
constituency_10_3_page2.png,0.9714885950088501,"[302, 600, 2315, 1849]"
constituency_10_4.png,0.9374172687530518,"[335, 2812, 2312, 3175]"
constituency_10_4_page2.png,0.9633792042732239,"[308, 411, 2334, 1451]"
constituency_10_5.png,,
constituency_10_5_page2.png,0.9737221002578735,"[233, 393, 2239, 3041]"
constituency_10_5_page3.png,,
constituency_10_6.png,,
constituency_10_6_page2.png,0.9720108509063721,"[401, 808, 2293, 2099]"
constituency_10_7.png,,
constituency_10_7_page2.png,0.963240921497345,"[255, 457, 2368, 1754]"
constituency_10_8.png,0.9547963738441467,"[287, 2813, 2318, 3233]"
constituency_10_8_page2.png,0.9693551063537598,"[291, 289, 2327, 1467]"
constituency_10_9.png,,
constituency_10_9_page2.png,0.9478434324264526,"[233, 385, 2340, 2621]"
constituency_10_9_page3.png,,
constituency_11_1.png,0.9533504843711853,"[273, 2708, 2192, 3136]"
constituency_11_1_page2.png,0.9648991227149963,"[272, 155, 2195, 854]"
constituency_11_2.png,0.9607449173927307,"[174, 2642, 2328, 3169]"
constituency_11_2_page2.png,0.9683868885040283,"[188, 357, 2351, 1259]"
constituency_11_3.png,0.954063355922699,"[187, 2762, 2367, 3218]"
constituency_11_3_page2.png,0.972209632396698,"[190, 272, 2328, 1187]"
constituency_11_4.png,0.9599595069885254,"[186, 2759, 2343, 3252]"
constituency_11_4_page2.png,0.9668163061141968,"[223, 386, 2279, 1260]"
constituency_11_5.png,0.9577101469039917,"[116, 2835, 2392, 3385]"
constituency_11_5_page2.png,0.9703598022460938,"[165, 300, 2340, 1189]"
constituency_11_6.png,0.9604985117912292,"[173, 2731, 2352, 3354]"
constituency_11_6_page2.png,0.972920835018158,"[165, 303, 2229, 1005]"
constituency_11_7.png,0.941506028175354,"[177, 2755, 2329, 3191]"
constituency_11_7_page2.png,0.9680292010307312,"[179, 179, 2330, 1268]"
constituency_11_8.png,0.9610252976417542,"[173, 2621, 2377, 3343]"
constituency_11_8_page2.png,0.9706981182098389,"[350, 246, 2328, 828]"
constituency_12_1.png,0.9581325054168701,"[209, 2807, 2363, 3295]"
constituency_12_1_page2.png,0.9693098664283752,"[152, 242, 2378, 1150]"
constituency_12_2.png,,
constituency_12_2_page2.png,0.9698711037635803,"[287, 416, 2200, 1566]"
constituency_12_3.png,,
